id,sesso,eta,mese,peso,kcal,pesoStimato
1,0,46,1,67.0,2061,-0.438622
1,0,46,2,67.43862,1537,-1.2778139
1,0,46,2,68.71644,3173,0.39962184
1,0,46,2,68.31682,2684,0.28129667
1,0,46,2,68.03552,1568,-1.2257652
1,0,46,2,69.26129,2064,-0.93798447
1,0,46,2,70.19928,1768,-1.347285
1,0,46,2,71.54656,1679,-1.0768313
1,0,46,2,72.62339,2262,-0.4482758
1,0,46,2,73.07166,1695,-1.6141595
1,0,46,2,74.68582,2053,-1.4101315
1,0,46,2,76.095955,2654,0.0
1,0,46,2,76.095955,1858,-1.7136707
1,0,46,2,77.80962,3108,0.6885457
1,0,46,2,77.12108,3256,0.5408476
1,0,46,2,76.58023,2635,-0.019734383
1,0,46,2,76.59997,2714,0.039056778
1,0,46,2,76.56091,3219,0.3466915
1,0,46,2,76.21422,2284,-0.8121717
1,0,46,2,77.02639,1921,-1.55544
1,0,46,2,78.58183,3284,0.36053598
1,0,46,2,78.2213,3626,0.7777165
1,0,46,2,77.44358,1685,-2.9347181
1,0,46,2,80.378296,2584,-0.21052647
1,0,46,2,80.58882,2342,-0.32536292
1,0,46,2,80.914185,2674,-0.060583234
1,0,46,2,80.97477,1747,-2.8105326
1,0,46,2,83.7853,1831,-1.0289459
1,0,46,2,84.81425,2064,-1.0537791
1,0,46,2,85.86803,2441,-0.29823852
1,0,46,2,86.16627,2388,-0.70519257
1,0,46,2,86.87146,2848,0.029494464
1,0,46,2,86.841965,1862,-1.029001
1,0,46,2,87.870964,2638,-0.22517073
1,0,46,2,88.09614,2045,-1.1647922
1,0,46,2,89.26093,2229,-1.4087033
2,1,33,1,64.0,3190,0.83228827
2,1,33,2,63.167713,2801,0.16922522
2,1,33,2,62.99849,1769,-1.4771057
2,1,33,2,64.47559,1735,-1.0755043
2,1,33,2,65.5511,2876,0.19610578
2,1,33,2,65.354996,1718,-1.6868452
2,1,33,2,67.04184,2716,0.0
2,1,33,2,67.04184,1712,-1.7593457
2,1,33,2,68.801186,2503,-0.49340785
2,1,33,2,69.29459,1959,-2.0418577
2,1,33,2,71.33645,3273,0.7256341
2,1,33,2,70.61082,1866,-2.459807
2,1,33,2,73.070625,2294,-0.4681778
2,1,33,2,73.5388,1988,-0.8571429
2,1,33,2,74.39594,1971,-1.3470318
2,1,33,2,75.74297,2450,-0.52897954
2,1,33,2,76.27195,3296,0.6128642
2,1,33,2,75.65909,2132,-0.7016885
2,1,33,2,76.36078,3704,1.0934126
2,1,33,2,75.267365,2529,-0.27204418
2,1,33,2,75.539406,3885,1.2960103
